Dependency,Ecosystem,Category,Repos Using,What It Does,Used In
keyring-core,rust,Misc & Everything Else,2.0,,"marmot-protocol/mdk, marmot-protocol/whitenoise-rs"
lint-staged,js,Dev Environment & Tooling,2.0,,"cashubtc/cashu-ts, soapbox-pub/soapbox"
localforage,js,Misc & Everything Else,2.0,,"cashubtc/npubcash-website, marmot-protocol/marmots-web-chat"
loguru,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
lru,rust,Misc & Everything Else,2.0,,"marmot-protocol/mdk, marmot-protocol/transponder"
marshmallow,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
mdk-core,rust,Misc & Everything Else,2.0,,"marmot-protocol/mdk, marmot-protocol/whitenoise-rs"
mdk-sqlite-storage,rust,Misc & Everything Else,2.0,,"marmot-protocol/mdk, marmot-protocol/whitenoise-rs"
mdk-storage-traits,rust,Misc & Everything Else,2.0,,"marmot-protocol/mdk, marmot-protocol/whitenoise-rs"
mime,js,Misc & Everything Else,2.0,,"marmot-protocol/whitenoise, soapbox-pub/shakespeare"
mock-socket,js,Misc & Everything Else,2.0,,"cashubtc/cashu-ts, soapbox-pub/nostrify"
nodemon,js,Misc & Everything Else,2.0,,"cashubtc/npubcash-server, cashubtc/orchard"
notepack,rust,Misc & Everything Else,2.0,,"andotherstuff/binostr, andotherstuff/pensieve"
packaging,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
parking_lot,rust,Frameworks & Libraries,2.0,,"andotherstuff/pensieve, marmot-protocol/mdk"
path-browserify,js,Misc & Everything Else,2.0,,"soapbox-pub/shakespeare, soapbox-pub/soapbox"
pg,js,Databases & Storage,2.0,,"cashubtc/npubcash-server, cashubtc/orchard"
playwright,js,Testing & QA,2.0,,"andotherstuff/keycast, cashubtc/cashu-ts"
plugin_platform_interface,dart,Misc & Everything Else,2.0,,"cashubtc/cdk-flutter, marmot-protocol/whitenoise"
pycparser,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
pydantic,py,Frameworks & Libraries,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
python-dotenv,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
qrcode.react,js,Frameworks & Libraries,2.0,,"andotherstuff/chorus, soapbox-pub/soapbox"
react-hot-toast,js,Misc & Everything Else,2.0,,"cashubtc/cashu-redeem, soapbox-pub/soapbox"
react-i18next,js,Misc & Everything Else,2.0,,"cashubtc/eNuts, soapbox-pub/shakespeare"
react-router,js,Frameworks & Libraries,2.0,,"marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor"
react-virtuoso,js,Misc & Everything Else,2.0,,"andotherstuff/universes-legacy, soapbox-pub/soapbox"
rollup-plugin-visualizer,js,Dev Environment & Tooling,2.0,,"soapbox-pub/ditto, soapbox-pub/soapbox"
rustls,rust,Security & Privacy,2.0,,"cashubtc/cdk, marmot-protocol/whitenoise-rs"
setuptools,py,Dev Environment & Tooling,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
six,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
sniffio,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
sqlalchemy,py,Frameworks & Libraries,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
sqlx,rust,Databases & Storage,2.0,,"andotherstuff/nostr-rs-relay, marmot-protocol/whitenoise-rs"
starlette,py,Hosting Infra & Deploy,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
supertest,js,Testing & QA,2.0,,"cashubtc/npubcash-server, cashubtc/orchard"
svelte,js,Frameworks & Libraries,2.0,,"andotherstuff/nostr-stats, marmot-protocol/whitenoise-web"
svelte-check,js,Misc & Everything Else,2.0,,"andotherstuff/nostr-stats, marmot-protocol/whitenoise-web"
tls_codec,rust,Misc & Everything Else,2.0,,"marmot-protocol/mdk, marmot-protocol/nostr-openmls"
tokio-stream,rust,Hosting Infra & Deploy,2.0,,"cashubtc/cdk, marmot-protocol/wn-tui"
tokio-test,rust,Hosting Infra & Deploy,2.0,,"andotherstuff/funnel, marmot-protocol/transponder"
tokio-util,rust,Hosting Infra & Deploy,2.0,,"andotherstuff/groups_relay, cashubtc/cdk"
tonic,rust,Hosting Infra & Deploy,2.0,,"andotherstuff/nostr-rs-relay, cashubtc/cdk"
ts-jest-resolver,js,Misc & Everything Else,2.0,,"cashubtc/cashu-crypto-ts, cashubtc/eNuts"
ts-mls,js,Misc & Everything Else,2.0,,"marmot-protocol/marmot-ts, marmot-protocol/marmots-web-chat"
tsconfig-paths,js,Misc & Everything Else,2.0,,"cashubtc/cashu-redeem, cashubtc/orchard"
typedoc,js,Misc & Everything Else,2.0,,"cashubtc/cashu-crypto-ts, cashubtc/cashu-ts"
typing-extensions,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
uri-templates,js,Misc & Everything Else,2.0,,"soapbox-pub/ditto, soapbox-pub/shakespeare"
url,rust,Frameworks & Libraries,2.0,,"andotherstuff/nostr-rs-relay, cashubtc/cdk"
uvicorn,py,Hosting Infra & Deploy,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
vue,js,Frameworks & Libraries,2.0,,"cashubtc/cashu.me, marmot-protocol/marmot-web"
websocket-ts,js,Misc & Everything Else,2.0,,"soapbox-pub/nostrify, soapbox-pub/soapbox"
win32-setctime,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
wiremock,rust,Testing & QA,2.0,,"andotherstuff/funnel, marmot-protocol/transponder"
zeroize,rust,Misc & Everything Else,2.0,,"marmot-protocol/mdk, marmot-protocol/transponder"
zipp,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
@akryum/flexsearch-es,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@algolia/autocomplete-core,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
@algolia/autocomplete-preset-algolia,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
@angular/animations,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/build,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/cdk,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/cli,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/common,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/compiler,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/compiler-cli,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/core,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/forms,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/material,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/material-luxon-adapter,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/platform-browser,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/platform-browser-dynamic,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@angular/router,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@apollo/server,js,Frameworks & Libraries,1.0,,cashubtc/orchard
@as-integrations/express5,js,Misc & Everything Else,1.0,,cashubtc/orchard
@babel/core,js,Misc & Everything Else,1.0,,cashubtc/eNuts
@babel/plugin-proposal-private-methods,js,Misc & Everything Else,1.0,,cashubtc/eNuts
@base-ui/react,js,Frameworks & Libraries,1.0,,marmot-protocol/marmots-web-chat
@capacitor/assets,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
@capacitor/clipboard,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
@capacitor/filesystem,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@capacitor/keyboard,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@capacitor/local-notifications,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@capacitor/share,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@capacitor/status-bar,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
@capgo/capacitor-autofill-save-password,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@charkour/react-reactions,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
@chenfengyuan/vue-qrcode,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
@commitlint/cli,js,Dev Environment & Tooling,1.0,,cashubtc/cashu-ts
@commitlint/config-conventional,js,Dev Environment & Tooling,1.0,,cashubtc/cashu-ts
@config-plugins/detox,js,Misc & Everything Else,1.0,,cashubtc/eNuts
@electron/packager,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
@emoji-mart/react,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@eslint/compat,js,Dev Environment & Tooling,1.0,,cashubtc/eNuts
@floating-ui/react,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@fontsource-variable/comfortaa,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource-variable/dm-sans,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource-variable/fredoka,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource-variable/lora,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource-variable/merriweather,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource-variable/nunito,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource-variable/playfair-display,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/amiri,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@fontsource/bungee-shade,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/cairo,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@fontsource/caveat,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/cherry-bomb-one,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/comic-neue,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/comic-relief,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/courier-prime,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/creepster,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/inter,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@fontsource/luckiest-guy,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/noto-sans-javanese,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@fontsource/noto-sans-nushu,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/pacifico,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/permanent-marker,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/pirata-one,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/playfair-display,js,Frameworks & Libraries,1.0,,andotherstuff/ai-sovereignty
@fontsource/press-start-2p,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/roboto-mono,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@fontsource/silkscreen,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/special-elite,js,Frameworks & Libraries,1.0,,soapbox-pub/ditto
@fontsource/tajawal,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@fontsource/vazirmatn,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@formatjs/cli,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@getalby/bitcoin-connect-react,js,Bitcoin Lightning Nostr,1.0,,cashubtc/cashu-redeem
@getalby/lightning-tools,js,Bitcoin Lightning Nostr,1.0,,cashubtc/cashu-redeem
@getify/eslint-plugin-proper-arrows,js,Misc & Everything Else,1.0,,cashubtc/eNuts
@gitbeaker/node,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@graphql-codegen/cli,js,Misc & Everything Else,1.0,,cashubtc/orchard
@graphql-codegen/typescript,js,Misc & Everything Else,1.0,,cashubtc/orchard
@grpc/grpc-js,js,Misc & Everything Else,1.0,,cashubtc/orchard
@grpc/proto-loader,js,Misc & Everything Else,1.0,,cashubtc/orchard
@headlessui/react,js,Frameworks & Libraries,1.0,,cashubtc/docs.cashu.space
@hpke/core,js,Misc & Everything Else,1.0,,marmot-protocol/marmot-ts
@internet-privacy/marmot-ts,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
@isomorphic-git/lightning-fs,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
@jedmao/redux-mock-store,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@jest/globals,js,Testing & QA,1.0,,cashubtc/npubcash-server
@lexical/clipboard,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@lexical/hashtag,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@lexical/link,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@lexical/react,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@lexical/selection,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@lexical/utils,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@mdx-js/loader,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
@mdx-js/react,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
@microsoft/api-extractor,js,Misc & Everything Else,1.0,,cashubtc/cashu-ts
@milkdown/core,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@milkdown/ctx,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@milkdown/plugin-clipboard,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@milkdown/plugin-history,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@milkdown/plugin-listener,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@milkdown/plugin-upload,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@milkdown/preset-commonmark,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@milkdown/preset-gfm,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@milkdown/prose,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@milkdown/react,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@milkdown/utils,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@mkljczk/react-hotkeys,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@modelcontextprotocol/sdk,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
@mozilla/readability,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
@nestjs/apollo,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/cli,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/common,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/config,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/core,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/event-emitter,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/graphql,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/jwt,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/passport,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/platform-express,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/schedule,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/schematics,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/serve-static,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/testing,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/throttler,js,Misc & Everything Else,1.0,,cashubtc/orchard
@nestjs/typeorm,js,Misc & Everything Else,1.0,,cashubtc/orchard
@next/mdx,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
@noble/ciphers,js,Security & Privacy,1.0,Audited symmetric ciphers for JS,marmot-protocol/marmot-ts
@nostr-dev-kit/ndk,js,Bitcoin Lightning Nostr,1.0,,cashubtc/cashu.me
@nostrify/types,js,Bitcoin Lightning Nostr,1.0,,soapbox-pub/ditto
@opensecret/react,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
@quasar/app-vite,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
@quasar/extras,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
@quasar/icongenie,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
@reach/combobox,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@reach/menu-button,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@reach/popover,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@reach/rect,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@reach/tabs,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@react-native-community/netinfo,js,Misc & Everything Else,1.0,,cashubtc/eNuts
@react-navigation/core,js,Misc & Everything Else,1.0,,cashubtc/eNuts
@react-navigation/native,js,Misc & Everything Else,1.0,,cashubtc/eNuts
@react-navigation/native-stack,js,Misc & Everything Else,1.0,,cashubtc/eNuts
@react-spring/web,js,Frameworks & Libraries,1.0,,cashubtc/npubcash-website
@reduxjs/toolkit,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@scure/bip39,js,Security & Privacy,1.0,,cashubtc/cashu.me
@sentry/browser,js,Monitoring & Observability,1.0,,soapbox-pub/soapbox
@sentry/react-native,js,Monitoring & Observability,1.0,,cashubtc/eNuts
@sentry/types,js,Monitoring & Observability,1.0,,soapbox-pub/soapbox
@shopify/flash-list,js,Misc & Everything Else,1.0,,cashubtc/eNuts
@sindresorhus/slugify,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
@soapbox/weblock,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@std/encoding,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
@std/semver,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@tabler/icons,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
@tabler/icons-react,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
@tailwindcss/aspect-ratio,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@tailwindcss/cli,js,Frameworks & Libraries,1.0,,marmot-protocol/parres.org
@tailwindcss/forms,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
@tailwindcss/postcss,js,Frameworks & Libraries,1.0,,cashubtc/nut-november
@testing-library/dom,js,Testing & QA,1.0,,soapbox-pub/ditto
@testing-library/react-hooks,js,Testing & QA,1.0,,soapbox-pub/soapbox
@testing-library/react-native,js,Testing & QA,1.0,,cashubtc/eNuts
@types/babel__core,js,Dev Environment & Tooling,1.0,,cashubtc/eNuts
@types/bcrypt,js,Dev Environment & Tooling,1.0,,cashubtc/orchard
@types/better-sqlite3,js,Dev Environment & Tooling,1.0,,cashubtc/orchard
@types/chai,js,Dev Environment & Tooling,1.0,,cashubtc/cashu-redeem
@types/chai-as-promised,js,Dev Environment & Tooling,1.0,,cashubtc/cashu-redeem
@types/cors,js,Dev Environment & Tooling,1.0,,cashubtc/npubcash-server
@types/crypto-js,js,Dev Environment & Tooling,1.0,,cashubtc/eNuts
@types/d3-hierarchy,js,Dev Environment & Tooling,1.0,,marmot-protocol/marmots-web-chat
@types/debug,js,Dev Environment & Tooling,1.0,,marmot-protocol/marmot-ts
@types/dompurify,js,Dev Environment & Tooling,1.0,,soapbox-pub/ditto
@types/escape-html,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/http-link-header,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/jasmine,js,Dev Environment & Tooling,1.0,,cashubtc/orchard
@types/jsdom,js,Dev Environment & Tooling,1.0,,soapbox-pub/shakespeare
@types/jsonwebtoken,js,Dev Environment & Tooling,1.0,,cashubtc/npubcash-server
@types/jszip,js,Dev Environment & Tooling,1.0,,soapbox-pub/shakespeare
@types/leaflet,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/lodash,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/luxon,js,Dev Environment & Tooling,1.0,,cashubtc/orchard
@types/matter-js,js,Dev Environment & Tooling,1.0,,cashubtc/nut-november
@types/mocha,js,Dev Environment & Tooling,1.0,,cashubtc/cashu-redeem
@types/nunjucks,js,Dev Environment & Tooling,1.0,,soapbox-pub/shakespeare
@types/object-assign,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/passport-jwt,js,Dev Environment & Tooling,1.0,,cashubtc/orchard
@types/pg,js,Dev Environment & Tooling,1.0,,cashubtc/npubcash-server
@types/prismjs,js,Dev Environment & Tooling,1.0,,soapbox-pub/shakespeare
@types/react-color,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/react-helmet,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/react-motion,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/react-native-onboarding-swiper,js,Dev Environment & Tooling,1.0,,cashubtc/eNuts
@types/react-router-dom,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/react-sparklines,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/react-swipeable-views,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/react-transition-group,js,Dev Environment & Tooling,1.0,,cashubtc/npubcash-website
@types/redux-mock-store,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/sanitize-html,js,Dev Environment & Tooling,1.0,,marmot-protocol/whitenoise-web
@types/semver,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
@types/sinon,js,Dev Environment & Tooling,1.0,,soapbox-pub/nostrify
@types/turndown,js,Dev Environment & Tooling,1.0,,soapbox-pub/shakespeare
@types/underscore,js,Dev Environment & Tooling,1.0,,cashubtc/cashu.me
@types/uri-templates,js,Dev Environment & Tooling,1.0,,soapbox-pub/shakespeare
@vercel/analytics,js,Monitoring & Observability,1.0,,cashubtc/docs.cashu.space
@vitejs/plugin-basic-ssl,js,Dev Environment & Tooling,1.0,,andotherstuff/heynow
@vitest/browser,js,Testing & QA,1.0,,cashubtc/cashu-ts
@vitest/browser-playwright,js,Testing & QA,1.0,,cashubtc/cashu-ts
@vitest/ui,js,Testing & QA,1.0,,cashubtc/npubcash-server
@vue/test-utils,js,Frameworks & Libraries,1.0,,cashubtc/cashu.me
@vuepress/bundler-vite,js,Misc & Everything Else,1.0,,marmot-protocol/marmot-web
@vuepress/helper,js,Misc & Everything Else,1.0,,marmot-protocol/marmot-web
@vuepress/theme-default,js,Misc & Everything Else,1.0,,marmot-protocol/marmot-web
@vueuse/core,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
@webxdc/types,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
@zxing/browser,js,Misc & Everything Else,1.0,,andotherstuff/chorus
@zxing/library,js,Misc & Everything Else,1.0,,andotherstuff/chorus
acorn,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
aiosqlite,py,Misc & Everything Else,1.0,,cashubtc/nutshell
algoliasearch,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
altgraph,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
androidx.annotation:annotation,kotlin,Frameworks & Libraries,1.0,,marmot-protocol/mdk-kotlin
applesauce-actions,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
applesauce-content,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
applesauce-extra,js,Misc & Everything Else,1.0,,marmot-protocol/nostr-doctor
asn1crypto,py,Misc & Everything Else,1.0,,cashubtc/nutshell
async-std,rust,Hosting Infra & Deploy,1.0,,andotherstuff/nostr-rs-relay
async-timeout,py,Misc & Everything Else,1.0,,cashubtc/nutshell
asyncpg,py,Misc & Everything Else,1.0,,cashubtc/nutshell
attrs,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
audio-recorder-polyfill,js,Misc & Everything Else,1.0,,andotherstuff/heynow
aws-config,rust,Misc & Everything Else,1.0,,andotherstuff/pensieve
aws-sdk-s3,rust,Misc & Everything Else,1.0,,andotherstuff/pensieve
axios,js,Frameworks & Libraries,1.0,,cashubtc/cashu.me
axum-test,rust,Misc & Everything Else,1.0,,andotherstuff/funnel
base58,py,Misc & Everything Else,1.0,,cashubtc/nutshell
base64ct,rust,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-rs
bbcode_pleroma,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
bcrypt_elixir,elixir,Security & Privacy,1.0,,soapbox-pub/rebased
benchee,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
better-sqlite3,js,Databases & Storage,1.0,,cashubtc/orchard
bincode,rust,Misc & Everything Else,1.0,,marmot-protocol/nostr-openmls
bip32,py,Misc & Everything Else,1.0,,cashubtc/nutshell
bip39,rust,Misc & Everything Else,1.0,,cashubtc/cdk
bitcoin,rust,Bitcoin Lightning Nostr,1.0,,cashubtc/cdk
bitcoin-payment-instructions,rust,Bitcoin Lightning Nostr,1.0,,cashubtc/cdk
bitcoin_hashes,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
bolt11,py,Bitcoin Lightning Nostr,1.0,,cashubtc/nutshell
bootsnap,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
bowser,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
brakeman,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
brotli,py,Misc & Everything Else,1.0,,cashubtc/nutshell
browserslist,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
bundler-audit,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
bytes,rust,Frameworks & Libraries,1.0,,marmot-protocol/transponder
cached_network_image,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
cachex,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
calendar,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
capacitor-plugin-safe-area,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
capacitor-secure-storage-plugin,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
capnp,rust,Misc & Everything Else,1.0,,andotherstuff/binostr
capnpc,rust,Misc & Everything Else,1.0,,andotherstuff/binostr
capybara,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
carbon-icons-svelte,js,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-web
cashu-address-sdk,js,Bitcoin Lightning Nostr,1.0,,cashubtc/npubcash-website
castore,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
cbor-diag,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cbor2,py,Misc & Everything Else,1.0,,cashubtc/nutshell
cdk,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-axum,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-cln,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-common,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-fake-wallet,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-ffi,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-http-client,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-ldk-node,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-lnbits,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-lnd,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-mint-rpc,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-mintd,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-npubcash,rust,Misc & Everything Else,1.0,,cashubtc/cdk
cdk-payment-processor,rust,Misc & Everything Else,1.0,,cashubtc/cdk
